Date,Open,High,Low,Close,Adj Close,Volume
2013-03-04,828.140015,831.369995,813.780029,818.150024,818.150024,1952600000
2013-03-05,819.039978,821.630005,814.179993,814.919983,814.919983,2273080000
2013-03-06,819.479980,831.710022,819.070007,829.400024,829.400024,3397670000
2013-03-07,829.039978,833.059998,826.289978,832.320007,832.320007,2250230000
2013-03-08,833.739990,843.940002,833.500000,837.280029,837.280029,0
2013-03-11,837.659973,839.229980,829.979980,831.710022,831.710022,0
2013-03-13,830.820007,834.530029,823.320007,827.750000,827.750000,0
2013-03-14,826.460022,826.469971,813.280029,816.590027,816.590027,0
2013-03-15,820.900024,830.840027,820.900024,821.750000,821.750000,0
2013-03-18,819.960022,823.200012,815.619995,820.219971,820.219971,0
2013-03-19,823.419983,827.750000,822.280029,822.280029,822.280029,0
2013-03-20,null,null,null,null,null,null
2013-03-21,824.090027,827.760010,812.570007,816.130005,816.130005,0
2013-03-22,815.260010,817.890015,798.859985,798.859985,798.859985,0
2013-03-25,null,null,null,null,null,null
2013-03-26,810.859985,823.520020,809.520020,818.840027,818.840027,0
2013-03-27,821.840027,834.409973,821.690002,834.409973,834.409973,0
2013-03-28,832.710022,836.869995,828.489990,836.869995,836.869995,0
2013-04-01,833.400024,838.080017,831.669983,833.520020,833.520020,0
2013-04-02,835.349976,839.289978,834.080017,837.020020,837.020020,0
2013-04-03,840.809998,843.489990,834.479980,843.489990,843.489990,0
2013-04-04,840.760010,841.049988,830.130005,830.130005,830.130005,0
2013-04-05,832.530029,835.830017,827.130005,830.659973,830.659973,0
2013-04-08,830.239990,832.469971,819.789978,825.460022,825.460022,0
2013-04-09,828.570007,832.419983,823.150024,827.219971,827.219971,0
2013-04-10,829.590027,829.750000,819.929993,822.859985,822.859985,0
2013-04-11,825.299988,832.169983,823.940002,832.169983,832.169983,0
2013-04-12,832.570007,836.640015,831.270020,834.119995,834.119995,0
2013-04-15,830.299988,831.039978,823.940002,825.599976,825.599976,0
2013-04-16,822.280029,838.419983,818.979980,838.419983,838.419983,0
2013-04-17,841.260010,849.409973,840.489990,847.890015,847.890015,0
2013-04-18,843.739990,849.789978,842.570007,849.549988,849.549988,0
2013-04-19,847.549988,852.030029,844.109985,846.950012,846.950012,0
2013-04-22,848.369995,852.849976,842.190002,847.369995,847.369995,0
2013-04-23,847.510010,847.750000,841.739990,842.969971,842.969971,0
2013-04-24,847.710022,850.659973,844.929993,850.659973,850.659973,0
2013-04-25,848.380005,850.929993,840.929993,847.820007,847.820007,0
2013-04-26,847.219971,848.770020,841.929993,841.929993,841.929993,0
2013-04-29,843.890015,848.429993,842.609985,848.429993,848.429993,0
2013-04-30,null,null,null,null,null,null
2013-05-01,853.640015,861.020020,851.650024,860.039978,860.039978,0
2013-05-02,856.760010,860.440002,846.619995,847.289978,847.289978,0
2013-05-03,846.719971,848.460022,829.450012,833.609985,833.609985,0
2013-05-06,835.630005,847.659973,835.630005,845.940002,845.940002,0
2013-05-07,845.859985,854.219971,844.390015,853.840027,853.840027,0
2013-05-08,853.960022,861.669983,853.219971,859.369995,859.369995,0
2013-05-10,859.780029,864.609985,856.320007,861.469971,861.469971,0
2013-05-13,860.460022,860.530029,846.070007,851.080017,851.080017,0
2013-05-14,849.789978,856.869995,847.929993,856.869995,856.869995,0
2013-05-15,857.799988,861.049988,854.830017,856.890015,856.890015,0
2013-05-16,857.309998,861.859985,855.530029,856.070007,856.070007,0
2013-05-17,855.780029,874.719971,855.150024,870.030029,870.030029,0
2013-05-20,null,null,null,null,null,null
2013-05-21,886.799988,892.479980,873.219971,878.979980,878.979980,0
2013-05-22,878.919983,886.700012,877.000000,880.179993,880.179993,0
2013-05-23,879.010010,880.030029,859.250000,864.869995,864.869995,0
2013-05-24,867.460022,874.049988,866.440002,869.640015,869.640015,0
2013-05-27,867.150024,868.320007,851.780029,852.859985,852.859985,0
2013-05-28,null,null,null,null,null,null
2013-05-29,874.890015,882.169983,866.280029,876.190002,876.190002,0
2013-05-30,870.650024,870.650024,854.880005,857.760010,857.760010,0
2013-05-31,859.169983,861.099976,839.469971,839.469971,839.469971,0
2013-06-03,835.669983,836.789978,821.979980,823.710022,823.710022,0
2013-06-04,823.859985,836.729980,821.270020,836.729980,836.729980,0
2013-06-05,831.969971,831.979980,822.640015,831.090027,831.090027,0
2013-06-07,826.830017,827.650024,801.340027,801.340027,801.340027,0
2013-06-10,808.679993,811.530029,781.440002,785.909973,785.909973,0
2013-06-11,785.190002,786.929993,750.390015,757.280029,757.280029,0
2013-06-12,749.320007,777.539978,738.190002,777.530029,777.530029,0
2013-06-13,762.400024,773.659973,750.840027,759.489990,759.489990,0
2013-06-14,769.619995,794.409973,769.619995,790.340027,790.340027,0
2013-06-17,789.030029,799.890015,788.059998,792.710022,792.710022,0
2013-06-18,797.859985,810.270020,797.840027,803.880005,803.880005,0
2013-06-19,805.770020,811.599976,795.280029,795.890015,795.890015,0
2013-06-20,779.830017,779.830017,759.460022,760.599976,760.599976,0
2013-06-21,740.450012,749.380005,731.570007,736.260010,736.260010,0
2013-06-24,null,null,null,null,null,null
2013-06-25,732.799988,738.669983,716.080017,719.580017,719.580017,0
2013-06-26,null,null,null,null,null,null
2013-06-27,769.750000,785.000000,769.750000,773.390015,773.390015,0
2013-06-28,785.270020,804.000000,785.039978,804.000000,804.000000,0
2013-07-01,788.239990,803.900024,786.049988,794.700012,794.700012,0
2013-07-02,801.989990,802.469971,782.890015,784.130005,784.130005,0
2013-07-03,780.299988,781.270020,755.309998,755.309998,755.309998,0
2013-07-04,760.479980,770.049988,758.260010,758.330017,758.330017,0
2013-07-05,769.030029,772.700012,760.520020,764.280029,764.280029,0
2013-07-08,758.140015,758.460022,731.229980,731.229980,731.229980,0
2013-07-09,738.679993,743.799988,728.210022,728.210022,728.210022,0
2013-07-10,730.859985,748.630005,730.530029,745.010010,745.010010,0
2013-07-11,751.520020,775.409973,751.520020,771.450012,771.450012,0
2013-07-12,774.070007,786.520020,768.820007,777.659973,777.659973,0
2013-07-15,779.369995,779.500000,765.140015,777.900024,777.900024,0
2013-07-16,776.979980,782.940002,773.559998,778.539978,778.539978,0
2013-07-17,780.599976,784.969971,775.989990,784.719971,784.719971,0
2013-07-18,783.000000,792.140015,782.390015,792.140015,792.140015,0
2013-07-19,789.429993,795.489990,787.369995,791.909973,791.909973,0
2013-07-22,793.669983,794.090027,778.710022,778.710022,778.710022,0
2013-07-23,783.250000,798.909973,782.919983,798.909973,798.909973,0
2013-07-24,797.179993,801.229980,779.809998,789.349976,789.349976,0
2013-07-25,789.909973,790.530029,778.640015,779.080017,779.080017,0
2013-07-26,780.510010,784.989990,774.440002,777.159973,777.159973,0
2013-07-29,null,null,null,null,null,null
2013-07-30,767.559998,776.750000,766.049988,772.250000,772.250000,731515000
2013-07-31,776.630005,778.719971,763.479980,771.900024,771.900024,1017222000
2013-08-01,774.090027,776.070007,767.200012,774.150024,774.150024,855551500
2013-08-02,779.469971,781.880005,771.070007,774.940002,774.940002,747184000
2013-08-12,772.039978,772.619995,759.750000,763.950012,763.950012,945283500
2013-08-13,763.799988,776.469971,763.799988,776.469971,776.469971,1188929500
2013-08-14,778.059998,786.289978,774.400024,786.289978,786.289978,1098578000
2013-08-15,782.020020,783.159973,778.070007,781.330017,781.330017,808900500
2013-08-16,771.700012,772.260010,758.859985,758.859985,758.859985,1083834500
2013-08-19,750.119995,750.500000,708.090027,708.090027,708.090027,1389064500
2013-08-20,694.369995,697.630005,663.419983,687.169983,687.169983,2154631500
2013-08-21,689.520020,707.539978,682.340027,696.150024,696.150024,1132823000
2013-08-22,683.179993,692.570007,676.750000,689.500000,689.500000,1641500500
2013-08-23,695.780029,704.099976,685.690002,689.260010,689.260010,1258707500
2013-08-26,691.020020,694.460022,677.890015,677.890015,677.890015,941560500
2013-08-27,672.469971,672.659973,650.520020,651.869995,651.869995,1301743000
2013-08-28,635.250000,668.419983,625.479980,664.979980,664.979980,2079922500
2013-08-29,668.799988,680.570007,664.219971,680.010010,680.010010,1886733000
2013-08-30,678.909973,701.070007,677.270020,701.070007,701.070007,1619899500
2013-09-02,701.479980,703.330017,672.450012,678.820007,678.820007,0
2013-09-03,681.719971,693.380005,681.380005,691.390015,691.390015,1205340500
2013-09-04,686.239990,686.729980,672.190002,673.609985,673.609985,1281342500
2013-09-05,678.869995,684.530029,662.559998,669.580017,669.580017,1391927500
2013-09-06,671.510010,676.059998,662.719971,676.059998,676.059998,1116079000
2013-09-09,684.599976,700.849976,681.619995,700.849976,700.849976,1520445000
2013-09-10,709.729980,739.059998,709.729980,739.059998,739.059998,2905655000
2013-09-11,743.880005,749.080017,721.510010,736.190002,736.190002,1577958000
2013-09-12,731.570007,739.150024,726.690002,734.580017,734.580017,1336687500
2013-09-13,730.039978,737.900024,725.669983,736.710022,736.710022,1080038000
2013-09-16,743.820007,766.770020,743.770020,766.770020,766.770020,1739061500
2013-09-17,765.760010,769.570007,756.880005,765.619995,765.619995,1635914000
2013-09-18,761.630005,762.330017,749.099976,752.200012,752.200012,1243290500
2013-09-19,781.109985,827.539978,781.109985,793.789978,793.789978,3480795500
2013-09-20,789.909973,793.099976,773.929993,773.929993,773.929993,1415060500
2013-09-23,759.390015,769.989990,757.909973,769.989990,769.989990,977323500
2013-09-24,766.340027,772.409973,745.539978,749.200012,749.200012,1326855500
